SEASON_YEAR,PLAYER_ID,FIRST_NAME,LAST_NAME,POSITION,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN_FT_IN,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH
2001,2202,Jason,Richardson,SF-SG,6' 4.75'',,213,6' 11.5'',8' 6.5'',5.3,,
2001,2369,Norman,Richardson,SG,6' 3.5'',,180,6' 4.5'',8' 3'',6.0,,
2001,2219,Jeryl,Sasser,PG-SG,6' 5.5'',,194,6' 10.5'',8' 7.5'',6.7,,
2001,12167,Kenny,Satterfield,PG,6' 1'',,176,6' 4.5'',8' 2'',6.7,,
2001,2243,Brian,Scalabrine,PF-SF,6' 8.75'',,241,6' 9.75'',8' 9.5'',13.6,,
2001,12168,Lee,Scruggs,PF-SF,6' 10.25'',,209,7' 5.75'',9' 2.5'',10.5,,
2001,2250,Bobby,Simmons,SF,6' 6.25'',,235,7' 0.25'',8' 9'',6.7,,
2001,2226,Will,Solomon,PG-SG,5' 11.75'',,172,6' 9.5'',8' 3.5'',4.0,,
2001,12169,Greg,Stevenson,SF,6' 3.75'',,215,7' 0.5'',8' 6'',7.3,,
2001,12170,Damone,Thornton,PF,6' 6.75'',,235,7' 1.75'',8' 7.75'',8.0,,
2001,2224,Jamaal,Tinsley,PG,6' 0.75'',,199,6' 7.5'',8' 1.5'',13.6,,
2001,12171,Tory,Walker,SF,6' 6.75'',,187,6' 11.25'',8' 8.5'',6.7,,
2001,12172,Souleymane,Wane,C,6' 8.5'',,235,7' 5'',9' 1'',11.2,,
2001,2248,Earl,Watson,PG,6' 0'',,184,6' 6.75'',8' 1'',4.0,,
2001,2206,Rodney,White,SF,6' 7.5'',,243,6' 11.5'',8' 8.5'',9.3,,
2001,2254,Loren,Woods,C-PF,7' 0.75'',,246,7' 5.5'',9' 5'',9.3,,
2001,12040,Brent,Wright,PF-SF,6' 7.75'',,236,7' 1.5'',8' 9.5'',12.4,,
2001,12041,Michael,Wright,PF,6' 7'',,247,6' 11.5'',8' 10.5'',9.3,,
2002,2403,Nene, ,PF,6' 9.25'',,253,7' 4.5'',9' 1'',,,
2002,2425,Robert,Archibald,PF-C,6' 10'',,250,6' 11.75'',9' 1.5'',,,
2002,2486,Maurice,Baker,PG,5' 11.75'',,178,6' 4'',8' 0'',,,
2002,2440,Matt,Barnes,SF,6' 6.75'',,226,6' 9'',8' 0.5'',,,
2002,12286,Lubos,Barton,SF-SG,6' 6.5'',,221,7' 0'',8' 11'',,,
2002,2437,Lonny,Baxter,PF-C,6' 6.25'',,264,7' 1.5'',8' 11.5'',,,
2002,12287,Lee,Benson,SF-PF,6' 8.25'',,217,7' 1.75'',9' 1'',,,
2002,2430,Carlos,Boozer,PF,6' 7.75'',,258,7' 2.25'',9' 0.5'',,,
2002,2414,Curtis,Borchardt,C,6' 10.75'',,238,7' 2.5'',9' 4'',,,
2002,2452,J.R.,Bremer,SG-PG,6' 1.25'',,188,6' 2.25'',8' 0'',,,
2002,12288,Brian,Brown,PG-SG,6' 2.5'',,194,6' 7'',8' 3'',,,
2002,12289,Sylvere,Bryan,PF,6' 9'',,226,7' 4.5'',9' 1.5'',,,
2002,12290,Chris,Burgess,C,6' 10'',,246,6' 11.5'',9' 1'',,,
2002,2406,Caron,Butler,SF-SG,6' 5.25'',,222,6' 11.5'',8' 7.5'',,,
2002,2446,Rasual,Butler,SF,6' 6.75'',,198,7' 0'',8' 9.5'',,,
2002,12291,Mire,Chatman,PG-SG,6' 0'',,174,6' 6'',8' 2'',,,
2002,12042,Chris,Christoffersen,C,7' 0.75'',,291,7' 3.5'',9' 1'',,,
2002,12043,Lenny,Cooke,SG-SF,6' 5.5'',,214,7' 1'',8' 11'',,,
2002,12044,Craig,Dawson,SG-SF,6' 3.5'',,200,6' 6.25'',8' 6'',,,
2002,2399,Mike,Dunleavy,SF,6' 8'',,230,6' 9'',8' 10'',,,
2002,12045,Teddy,Dupay,PG,5' 9.5'',,178,5' 10.75'',7' 6.5'',,,
2002,2451,Corsley,Edwards,PF,6' 7.25'',,285,6' 10.75'',8' 10.5'',,,
2002,12046,Andy,Ellis,PF,6' 9.25'',,220,6' 10.25'',8' 6'',,,
2002,2408,Melvin,Ely,PF,6' 9'',,240,7' 4'',9' 3'',,,
2002,2501,Reggie,Evans,PF,6' 7.5'',,250,7' 2.5'',8' 11.5'',,,
2002,12047,Peter,Fehse,PF-C,6' 10'',,220,7' 0.5'',9' 1'',,,
2002,2400,Drew,Gooden,PF,6' 8.75'',,227,7' 0.5'',8' 10.5'',,,
2002,12066,David,Graves,SG,6' 4.5'',,212,6' 7'',8' 5'',,,
2002,2696,Lynn,Greer,PG,6' 0.25'',,170,6' 1'',7' 10.5'',,,
2002,12067,Rod,Grizzard,SF-SG,6' 6'',,193,7' 0'',8' 11'',,,
2002,101219,Anthony,Grundy,PG-SG,6' 0.75'',,167,6' 7.75'',8' 3'',,,
2002,2409,Marcus,Haislip,PF,6' 8.5'',,221,7' 0'',8' 11'',,,
2002,12068,Damon,Hancock,SG-PG,6' 2.75'',,203,6' 6'',8' 3.5'',,,
2002,12069,Greg,Harrington,PG,6' 1'',,183,6' 3.75'',8' 1'',,,
2002,2617,Udonis,Haslem,PF,6' 7.75'',,250,6' 11'',8' 11'',,,
2002,12070,Cordell,Henry,PG,5' 8'',,155,6' 1'',7' 8'',,,
2002,2450,Randy,Holcomb,SF-PF,6' 7'',,225,7' 1'',8' 9'',,,
2002,2415,Ryan,Humphrey,PF-SF,6' 6'',,223,7' 0'',8' 8.5'',,,
2002,2407,Jared,Jeffries,PF,6' 10'',,230,7' 0.5'',9' 1'',,,
2002,12049,Jason,Jennings,C,6' 11.25'',,249,7' 7'',9' 3'',,,
2002,2410,Fred,Jones,SG,6' 2.25'',,218,7' 0'',8' 4'',,,
2002,2495,Lonnie,Jones,C-PF,6' 10.25'',,230,7' 2.25'',9' 4'',,,
2002,2435,Mario,Kasun,C,6' 11.75'',,260,6' 11.5'',9' 1'',,,
2002,12050,Sean,Kennedy,PG,6' 0.75'',,182,6' 2.5'',8' 0'',,,
2002,12051,Kris,Lang,C-PF,6' 9.25'',,242,6' 11.75'',9' 1'',,,
2002,12052,Muhammed,Lasege,C-PF,6' 8.75'',,228,7' 2'',9' 0.5'',,,
2002,12053,Steve,Logan,PG,5' 10'',,207,5' 11.75'',7' 8.5'',,,
2002,2677,Kevin,Lyde,C-PF,6' 8.75'',,278,7' 2'',9' 1.5'',,,
2002,2432,Tito,Maddox,PG,6' 3'',,200,6' 5'',8' 3'',,,
2002,12054,Kei,Madison,SF,6' 7.75'',,216,7' 0.5'',8' 11'',,,
2002,-1,Chris,Massie,PF,6' 6.25'',,248,7' 0'',8' 11'',,,
2002,12055,Immanuel,McElroy,SG,6' 2.25'',,191,6' 6.5'',8' 4'',,,
2002,12056,Aaron,McGhee,PF-SF,6' 7'',,255,6' 10'',8' 9.5'',,,
2002,12057,Elvin,Mims,SF-SG,6' 4.25'',,211,7' 1.5'',8' 9.5'',,,
2002,12058,Byron,Mouton,SG-SF,6' 4.5'',,213,6' 10.25'',8' 6'',,,
2002,2436,Ronald,Murray,SG,6' 3'',,197,6' 7.5'',8' 4.5'',,,
2002,12059,Uche,Okafor,PF-C,6' 9'',,229,7' 5.5'',9' 4'',,,
2002,2442,Chris,Owens,PF-SF,6' 7'',,237,6' 11.5'',8' 8'',,,
2002,2457,Jannero,Pargo,PG,6' 0.25'',,168,6' 2.5'',8' 0'',,,
2002,2470,Smush,Parker,PG-SG,6' 2.5'',,179,6' 10'',8' 11.5'',,,
2002,2458,Luke,Recker,SG-SF,6' 4.75'',,198,6' 7'',8' 5'',,,
2002,12061,Rolan,Roberts,PF,6' 5.75'',,241,7' 1'',8' 9.5'',,,
2002,12062,Travis,Robinson,SF,6' 5.25'',,211,6' 10.5'',8' 8.5'',,,
2002,2416,Kareem,Rush,SG-SF,6' 4.75'',,199,6' 9.75'',8' 7.5'',,,
2002,12063,Brooks,Sales,PF-C,6' 9'',,232,6' 10'',9' 0'',,,
2002,2422,John,Salmons,SF-SG,6' 5.5'',,207,6' 10.25'',8' 8'',,,
2002,2453,Predrag,Savovic,SG,6' 4.75'',,212,6' 7'',8' 6'',,,
2002,201324,Julian,Sensley,PF-SF,6' 7'',,228,6' 11.5'',8' 9.5'',,,
2002,12064,Israel,Sheinfeld,PF-C,6' 8.25'',,239,6' 9.75'',8' 10.5'',,,
2002,12065,Preston,Shumpert,SF,6' 6'',,197,6' 8.5'',8' 7.5'',,,
2002,2447,Tamar,Slay,SF,6' 6.75'',,203,6' 11.5'',8' 8'',,,
2002,2443,Darius,Songaila,PF,6' 8'',,240,7' 1'',9' 0.5'',,,
2002,2405,Amar'e,Stoudemire,PF,6' 8.5'',,233,7' 1.75'',9' 0.5'',,,
2002,2445,Marcus,Taylor,PG,6' 1'',,181,6' 4.5'',8' 2.5'',,,
2002,12297,Jobey,Thomas,SG,6' 2.75'',,183,6' 5.75'',8' 3.5'',,,
2002,2402,Dajuan,Wagner,PG-SG,6' 0.75'',,193,6' 2'',8' 3'',,,
2002,2404,Chris,Wilcox,PF-C,6' 8.25'',,218,7' 1'',8' 11.5'',,,
2002,2398,Jay,Williams,PG,6' 0.25'',,197,6' 3.5'',8' 1'',,,
2002,2421,Frank,Williams,PG,6' 1.5'',,212,6' 8'',8' 4.5'',,,
2002,2465,George,Williams,PF-SF,6' 5.75'',,214,7' 0.5'',8' 7'',,,
2002,2417,Qyntel,Woods,SF-SG,6' 7'',,213,6' 10'',8' 9'',,,
2002,2428,Vincent,Yarbrough,SF,6' 5.5'',,202,7' 0.5'',8' 8.5'',,,
2003,200995,Aloysius,Anagonye,PF,6' 6.75'',,257,7' 2.5'',8' 10'',10.5,,
2003,12072,Rick,Anderson,SF-PF,6' 8.25'',,216,6' 11'',8' 10.5'',9.9,,
2003,2546,Carmelo,Anthony,SF,6' 6.25'',,233,7' 0'',8' 9.5'',8.0,,
2003,2602,Jerome,Beasley,SF-PF,6' 9'',,237,7' 0.5'',8' 11'',9.9,,
2003,2559,Troy,Bell,PG,6' 0.25'',,178,6' 5'',8' 1.5'',5.3,,
2003,12073,LaVell,Blanchard,SF,6' 6'',,205,6' 6'',8' 5.5'',11.7,,
2003,2586,Keith,Bogans,SG,6' 4.25'',,213,6' 9.25'',8' 5'',8.0,,
2003,2588,Matt,Bonner,PF-SF,6' 8.5'',,242,6' 8.75'',8' 9.5'',13.6,,
2003,2547,Chris,Bosh,PF,6' 10.25'',,225,7' 3.5'',9' 1'',8.0,,
2003,2651,Jermaine,Boyette,PG-SG,6' 1'',,187,6' 4'',8' 0'',7.3,,
2003,12295,Souleymane,Camara,PF-SF,6' 9.75'',,211.0,7' 2.25'',9' 1'',9.9,,
2003,2679,Matt,Carroll,SG-SF,6' 5'',,207,6' 6.5'',8' 2.5'',6.7,,
2003,2555,Nick,Collison,PF,6' 8.75'',,255,7' 1.5'',9' 0'',17.0,,
2003,2567,Brian,Cook,PF-SF,6' 9.5'',,234,7' 2'',9' 1'',10.5,,
2003,12074,Joel,Cornette,PF-SF,6' 8.25'',,239,6' 9.25'',8' 9.5'',12.9,,
2003,2605,Marquis,Daniels,SG-PG,6' 5.25'',,198,6' 10'',8' 7.5'',4.0,,
2003,12075,Aleksander,Djuric,C-PF,6' 10'',,253,7' 0'',9' 0'',16.3,,
2003,12076,Ruben,Douglas,SG,6' 3.5'',,193,6' 7.25'',8' 4.5'',6.0,,
2003,2648,Ronald,Dupree,SF-SG,6' 6'',,209,6' 8.25'',8' 5'',6.7,,
2003,2606,Carl,English,SG-PG,6' 4'',,201,6' 5.25'',8' 2.5'',8.0,,
2003,12077,Ebi,Ere,SG,6' 3.5'',,210,6' 10.5'',8' 6'',14.1,,
2003,12078,Marquis,Estill,PF-C,6' 8.5'',,257,7' 4'',9' 0'',11.7,,
2003,2551,T.J.,Ford,PG,5' 11'',,162,5' 11.5'',7' 9.5'',6.7,,
2003,12079,Jason,Gardner,PG,5' 9.75'',,194,6' 1'',7' 8'',9.3,,
2003,2584,Willie,Green,SG-PG,6' 2.5'',,201,6' 7.25'',8' 4'',8.0,,
2003,12080,Justin,Hamilton,PG-SG,6' 3'',,217,6' 11'',8' 7'',8.0,,
2003,2580,Travis,Hansen,SG,6' 4.5'',,200,6' 6.5'',8' 4.5'',6.0,,
2003,12081,Trevor,Harvey,C-PF,6' 9.5'',,245,7' 1'',9' 1.5'',10.5,,
